DEPT,DT
2150.5,16.865210553092567
2151.0,14.772928060890536
2151.5,13.418045568688513
2152.0,13.343263076486465
2152.5,14.27548058428448
2153.0,17.060598092082415
2153.5,19.466715599880416
2154.0,21.443733107678412
2154.5,22.389750615476373
2155.0,23.343468123274363
2155.5,24.26108563107232
2156.0,27.174103138870294
2156.5,28.844720646668264
2157.0,27.994538154466255
2157.5,25.73825566226421
2158.0,19.880573170062235
2158.5,12.331590677860191
2159.0,9.243708185658164
2159.5,6.670025693456154
2160.0,8.628943201254117
2160.5,14.986960709052084
2161.0,18.105878216850073
2161.5,21.94819572464803
2162.0,24.910413232446018
2162.5,25.036530740244018
2163.0,24.954748248041994
2163.5,23.810665755839977
2164.0,23.21078326363795
2164.5,24.2036007714359
2165.0,23.42921827923388
2165.5,24.03933578703186
2166.0,23.143053294829826
2166.5,23.539870802627803
2167.0,23.864988310425815
